time,5min,10min,15min,20min,25min
00:00:30,0.005022,0.002182,0.001318,0.000906,0.000671
00:01:00,0.010604,0.004608,0.002784,0.001916,0.001419
00:01:30,0.02066,0.009432,0.005868,0.004159,0.003169
00:02:00,0.031664,0.014719,0.009267,0.006623,0.005077
00:02:30,0.042551,0.020388,0.013066,0.00946,0.00733
00:03:00,0.054309,0.026525,0.017182,0.012537,0.009774
00:03:30,0.063939,0.032012,0.021028,0.015494,0.012172
00:04:00,0.074277,0.037921,0.025175,0.018685,0.014761
00:04:30,0.081928,0.042712,0.028695,0.021475,0.017074
00:05:00,0.090109,0.047853,0.032479,0.024477,0.019565
00:05:30,0.078258,0.051772,0.035501,0.026948,0.02166
00:06:00,0.064828,0.055968,0.038742,0.029602,0.023912
00:06:30,0.056712,0.059038,0.041226,0.031698,0.02573
00:07:00,0.04811,0.06232,0.043885,0.033944,0.027681
00:07:30,0.042655,0.064654,0.045865,0.035667,0.029209
00:08:00,0.036859,0.067146,0.047982,0.037511,0.030848
00:08:30,0.033039,0.068885,0.049524,0.038895,0.032103
00:09:00,0.028974,0.070739,0.051173,0.040376,0.033448
00:09:30,0.026209,0.072014,0.052357,0.04147,0.034462
00:10:00,0.023263,0.073374,0.053621,0.042639,0.035547
00:10:30,0.021206,0.064221,0.054518,0.043492,0.036355
00:11:00,0.019012,0.054003,0.055476,0.044403,0.037219
00:11:30,0.017446,0.047638,0.056151,0.045063,0.037856
00:12:00,0.015774,0.040883,0.056871,0.045767,0.038538
00:12:30,0.014558,0.036494,0.057375,0.046273,0.039037
00:13:00,0.013258,0.031827,0.057912,0.046813,0.03957
00:13:30,0.012298,0.02869,0.058287,0.0472,0.039959
00:14:00,0.01127,0.025349,0.058687,0.047612,0.040374
00:14:30,0.0105,0.023039,0.058965,0.047906,0.040675
00:15:00,0.009676,0.020577,0.059261,0.04822,0.040997
00:15:30,0.00905,0.018834,0.052344,0.048443,0.04123
00:16:00,0.008381,0.016974,0.044646,0.048681,0.041478
00:16:30,0.007866,0.015631,0.039709,0.048849,0.041657
00:17:00,0.007316,0.014196,0.034461,0.049029,0.041849
00:17:30,0.006888,0.013142,0.030971,0.049157,0.041987
00:18:00,0.006431,0.012015,0.027255,0.049292,0.042134
00:18:30,0.006073,0.011175,0.024708,0.043874,0.04224
00:19:00,0.005689,0.010276,0.021994,0.037848,0.042353
00:19:30,0.005386,0.009597,0.020087,0.038999,0.042434
00:20:00,0.005061,0.00887,0.018053,0.040468,0.042521
00:20:30,0.004803,0.008314,0.016593,0.036336,0.042584
00:21:00,0.004527,0.007719,0.015033,0.031696,0.04265
00:21:30,0.004305,0.007259,0.013894,0.028577,0.042698
00:22:00,0.004068,0.006767,0.012676,0.025254,0.042749
00:22:30,0.003877,0.006383,0.011773,0.022956,0.042785
00:23:00,0.003672,0.005972,0.010806,0.020506,0.042824
00:23:30,0.003506,0.005648,0.010079,0.018771,0.03833
00:24:00,0.003327,0.005301,0.0093,0.01692,0.033334
00:24:30,0.003182,0.005026,0.008708,0.015582,0.034196
00:25:00,0.003027,0.004732,0.008073,0.014154,0.035311
00:25:30,0.002899,0.004496,0.007584,0.013104,0.031865
00:26:00,0.002763,0.004244,0.007061,0.011982,0.027999
00:26:30,0.002651,0.004041,0.006654,0.011145,0.025359
00:27:00,0.00253,0.003824,0.006218,0.010249,0.022545
00:27:30,0.00243,0.003648,0.005876,0.009572,0.020573
00:28:00,0.002324,0.00346,0.005509,0.008848,0.018469
00:28:30,0.002235,0.003307,0.005219,0.008294,0.016964
00:29:00,0.00214,0.003143,0.004909,0.007701,0.015356
00:29:30,0.002061,0.003009,0.004661,0.007243,0.014183
00:30:00,0.001976,0.002865,0.004396,0.006752,0.01293
00:30:30,0.001906,0.002747,0.004183,0.006369,0.012002
00:31:00,0.00183,0.00262,0.003955,0.005959,0.011009
00:31:30,0.001766,0.002516,0.003771,0.005636,0.010263
00:32:00,0.001698,0.002404,0.003574,0.005291,0.009465
00:32:30,0.00164,0.002311,0.003414,0.005016,0.008857
00:33:00,0.001579,0.002211,0.003242,0.004722,0.008207
00:33:30,0.001527,0.002129,0.003102,0.004488,0.007708
00:34:00,0.001471,0.00204,0.002952,0.004236,0.007172
00:34:30,0.001424,0.001966,0.002829,0.004034,0.006756
00:35:00,0.001373,0.001887,0.002697,0.003817,0.006311
00:35:30,0.001331,0.00182,0.002588,0.003642,0.005962
00:36:00,0.001285,0.001749,0.002472,0.003454,0.005588
00:36:30,0.001246,0.001689,0.002376,0.003302,0.005292
00:37:00,0.001204,0.001625,0.002272,0.003138,0.004976
00:37:30,0.001168,0.001571,0.002186,0.003004,0.004724
00:38:00,0.00113,0.001513,0.002094,0.00286,0.004453
00:38:30,0.001097,0.001464,0.002018,0.002743,0.004237
00:39:00,0.001062,0.001411,0.001935,0.002616,0.004005
00:39:30,0.001032,0.001367,0.001866,0.002512,0.003818
00:40:00,0.001,0.001319,0.001793,0.0024,0.003617
00:40:30,0.000972,0.001279,0.001731,0.002308,0.003454
00:41:00,0.000942,0.001235,0.001664,0.002208,0.00328
00:41:30,0.000917,0.001198,0.001609,0.002126,0.003138
00:42:00,0.00089,0.001158,0.001549,0.002037,0.002985
00:42:30,0.000866,0.001125,0.001498,0.001963,0.00286
00:43:00,0.000841,0.001088,0.001444,0.001884,0.002726
00:43:30,0.000819,0.001057,0.001398,0.001818,0.002616
00:44:00,0.000796,0.001024,0.001349,0.001747,0.002497
00:44:30,0.000776,0.000995,0.001307,0.001687,0.0024
00:45:00,0.000754,0.000965,0.001262,0.001623,0.002295
00:45:30,0.000735,0.000938,0.001224,0.001569,0.002208
00:46:00,0.000715,0.00091,0.001183,0.001511,0.002114
00:46:30,0.000698,0.000886,0.001148,0.001462,0.002037
00:47:00,0.000679,0.00086,0.001111,0.00141,0.001953
00:47:30,0.000663,0.000838,0.001079,0.001365,0.001884
00:48:00,0.000646,0.000813,0.001044,0.001318,0.001809
00:48:30,0.000631,0.000793,0.001015,0.001277,0.001746
00:49:00,0.000615,0.00077,0.000984,0.001234,0.001679
00:49:30,0.0006,0.000751,0.000957,0.001197,0.001622
00:50:00,0.000585,0.000731,0.000928,0.001157,0.001562
00:50:30,0.000572,0.000713,0.000903,0.001123,0.001511
00:51:00,0.000558,0.000693,0.000876,0.001087,0.001456
00:51:30,0.000546,0.000677,0.000853,0.001056,0.001409
00:52:00,0.000533,0.000659,0.000828,0.001023,0.001359
00:52:30,0.000521,0.000643,0.000807,0.000994,0.001317
00:53:00,0.000509,0.000627,0.000784,0.000964,0.001272
00:53:30,0.000498,0.000612,0.000765,0.000938,0.001233
00:54:00,0.000486,0.000597,0.000743,0.000909,0.001192
00:54:30,0.000476,0.000583,0.000725,0.000885,0.001157
00:55:00,0.000465,0.000569,0.000705,0.000859,0.001119
00:55:30,0.000456,0.000556,0.000688,0.000837,0.001087
00:56:00,0.000445,0.000543,0.00067,0.000813,0.001052
00:56:30,0.000436,0.000531,0.000654,0.000792,0.001022
00:57:00,0.000427,0.000518,0.000637,0.00077,0.000991
00:57:30,0.000418,0.000507,0.000622,0.000751,0.000963
