time,5min,10min,15min,20min,25min
00:00:30,0.003557,0.001517,0.000907,0.000622,0.00046
00:01:00,0.008754,0.003607,0.002112,0.001427,0.001045
00:01:30,0.019638,0.008217,0.004913,0.003378,0.002515
00:02:00,0.03535,0.014661,0.008701,0.005996,0.004484
00:02:30,0.05636,0.023499,0.013944,0.009596,0.007174
00:03:00,0.083068,0.035029,0.020783,0.014265,0.010643
00:03:30,0.11281,0.048751,0.02913,0.020044,0.014938
00:04:00,0.14514,0.064857,0.03922,0.027137,0.020269
00:04:30,0.17595,0.081682,0.050276,0.035099,0.026373
00:05:00,0.205729,0.099231,0.062329,0.044064,0.033344
00:05:30,0.211837,0.115696,0.074184,0.053188,0.040652
00:06:00,0.20748,0.131551,0.086026,0.062523,0.048323
00:06:30,0.198833,0.14552,0.096844,0.071314,0.055702
00:07:00,0.184801,0.158438,0.107082,0.079839,0.062954
00:07:30,0.169198,0.169445,0.116099,0.087501,0.069606
00:08:00,0.147256,0.179518,0.12448,0.094707,0.075959
00:08:30,0.130931,0.187978,0.131685,0.101016,0.081622
00:09:00,0.116838,0.195649,0.138337,0.106924,0.086918
00:09:30,0.105073,0.201947,0.143991,0.112019,0.091545
00:10:00,0.094349,0.207322,0.14918,0.116714,0.095868
00:10:30,0.085245,0.201952,0.153558,0.120751,0.099616
00:11:00,0.07697,0.189585,0.157576,0.124489,0.103115
00:11:30,0.069999,0.175354,0.160917,0.12765,0.106124
00:12:00,0.063636,0.159083,0.164,0.130571,0.108916
00:12:30,0.058228,0.143768,0.166568,0.133042,0.11127
00:13:00,0.053278,0.128698,0.168898,0.135333,0.113465
00:13:30,0.049057,0.115576,0.170828,0.137255,0.115337
00:14:00,0.045157,0.10348,0.172612,0.139028,0.117086
00:14:30,0.041808,0.093245,0.174076,0.14051,0.118564
00:15:00,0.038686,0.083916,0.175422,0.141885,0.119938
00:15:30,0.035984,0.076084,0.169085,0.143024,0.121094
00:16:00,0.033438,0.068977,0.157991,0.14408,0.122176
00:16:30,0.031222,0.062948,0.146137,0.144957,0.123082
00:17:00,0.029136,0.057442,0.13307,0.145775,0.12393
00:17:30,0.027305,0.052762,0.120923,0.146444,0.124637
00:18:00,0.025579,0.048445,0.109032,0.147068,0.125299
00:18:30,0.02406,0.04476,0.098682,0.141854,0.12585
00:19:00,0.022612,0.041331,0.088999,0.132982,0.126367
00:19:30,0.021327,0.038373,0.080718,0.128901,0.126795
00:20:00,0.020106,0.035603,0.073153,0.12717,0.127195
00:20:30,0.019025,0.033183,0.066721,0.121229,0.127526
00:21:00,0.017982,0.030916,0.060798,0.113033,0.127841
00:21:30,0.017047,0.028932,0.055763,0.104921,0.128101
00:22:00,0.016146,0.027053,0.051134,0.096313,0.128347
00:22:30,0.015354,0.025414,0.04715,0.088413,0.128549
00:23:00,0.014579,0.023854,0.043487,0.080658,0.128742
00:23:30,0.013876,0.022474,0.040312,0.073866,0.124205
00:24:00,0.013194,0.021154,0.037355,0.067432,0.116718
00:24:30,0.01258,0.019993,0.03478,0.061831,0.113204
00:25:00,0.011988,0.018881,0.032351,0.056626,0.111578
00:25:30,0.011467,0.017885,0.030242,0.052144,0.106502
00:26:00,0.010957,0.016924,0.028248,0.047964,0.099589
00:26:30,0.010489,0.016064,0.026496,0.044374,0.09272
00:27:00,0.010029,0.01525,0.024847,0.041014,0.085438
00:27:30,0.009611,0.014508,0.02339,0.038106,0.078763
00:28:00,0.009202,0.013784,0.021996,0.035374,0.072209
00:28:30,0.008833,0.013132,0.020763,0.03298,0.066394
00:29:00,0.008477,0.0125,0.019591,0.030738,0.060839
00:29:30,0.008152,0.011937,0.018547,0.028772,0.056013
00:30:00,0.007837,0.011401,0.017538,0.026911,0.051495
00:30:30,0.007547,0.010912,0.016635,0.025284,0.047565
00:31:00,0.007257,0.010429,0.015771,0.023736,0.043914
00:31:30,0.006989,0.009989,0.015002,0.022365,0.040732
00:32:00,0.006725,0.009558,0.014248,0.021054,0.037758
00:32:30,0.006482,0.009166,0.013566,0.019901,0.03516
00:33:00,0.006244,0.008788,0.012904,0.018795,0.032704
00:33:30,0.00603,0.008447,0.01231,0.017805,0.03057
00:34:00,0.00582,0.008112,0.011742,0.01685,0.02855
00:34:30,0.005627,0.00781,0.011238,0.015995,0.026773
00:35:00,0.005436,0.00751,0.010738,0.015186,0.025101
00:35:30,0.005259,0.007232,0.010282,0.014447,0.023622
00:36:00,0.005085,0.006955,0.009834,0.013728,0.022211
00:36:30,0.004927,0.006702,0.009427,0.013079,0.020958
00:37:00,0.00477,0.006452,0.009029,0.01245,0.01977
00:37:30,0.004623,0.006224,0.008674,0.01189,0.018713
00:38:00,0.004477,0.006004,0.008327,0.011357,0.017693
00:38:30,0.004341,0.005803,0.008011,0.01087,0.016779
00:39:00,0.004206,0.005603,0.007703,0.01039,0.0159
00:39:30,0.00408,0.00542,0.007418,0.009951,0.015124
00:40:00,0.003954,0.005238,0.007133,0.009523,0.014363
00:40:30,0.003842,0.005071,0.006871,0.009133,0.013673
00:41:00,0.003731,0.004908,0.006612,0.008756,0.013005
00:41:30,0.003628,0.004757,0.006376,0.008417,0.012403
00:42:00,0.003526,0.004605,0.006145,0.008083,0.011826
00:42:30,0.00343,0.004465,0.005937,0.007784,0.011316
00:43:00,0.003334,0.004325,0.005731,0.007485,0.010813
00:43:30,0.003245,0.004194,0.005542,0.007207,0.010352
00:44:00,0.003156,0.004064,0.005355,0.006932,0.009901
00:44:30,0.003072,0.003944,0.005182,0.00668,0.009489
00:45:00,0.002989,0.003829,0.005013,0.006431,0.009088
00:45:30,0.002911,0.003722,0.004858,0.006204,0.008727
00:46:00,0.002833,0.003616,0.004703,0.005985,0.008377
00:46:30,0.002762,0.003518,0.004559,0.005784,0.008057
00:47:00,0.002691,0.003419,0.004415,0.005586,0.007748
00:47:30,0.002625,0.003327,0.004281,0.005403,0.007461
00:48:00,0.002558,0.003235,0.004148,0.005222,0.007175
00:48:30,0.002496,0.003148,0.004024,0.005056,0.00691
00:49:00,0.002433,0.003062,0.003903,0.004894,0.00665
00:49:30,0.002374,0.002982,0.003793,0.004743,0.006412
