time,5min,10min,15min,20min,25min
00:00:30,0.005302,0.002323,0.001407,0.000974,0.000726
00:01:00,0.012373,0.005271,0.003161,0.002178,0.001619
00:01:30,0.027174,0.011573,0.007005,0.004901,0.0037
00:02:00,0.050844,0.020827,0.012419,0.00858,0.006442
00:02:30,0.090185,0.034897,0.020366,0.013951,0.010423
00:03:00,0.157889,0.057625,0.032439,0.02181,0.016049
00:03:30,0.263396,0.093149,0.050721,0.03318,0.024074
00:04:00,0.416462,0.147118,0.07886,0.050627,0.036086
00:04:30,0.614067,0.221978,0.118775,0.075688,0.053291
00:05:00,0.843123,0.320124,0.173157,0.11045,0.077562
00:05:30,1.047455,0.43714,0.24178,0.155547,0.109444
00:06:00,1.195119,0.565755,0.323259,0.211261,0.150005
00:06:30,1.255561,0.693104,0.411948,0.275398,0.198029
00:07:00,1.266618,0.80911,0.501809,0.344383,0.252273
00:07:30,1.237882,0.908656,0.58553,0.413233,0.30886
00:08:00,1.179716,0.994154,0.660065,0.478172,0.364673
00:08:30,1.102257,1.075647,0.723749,0.5361,0.416654
00:09:00,1.002645,1.150419,0.783149,0.587103,0.463643
00:09:30,0.910409,1.215924,0.838946,0.633573,0.505071
00:10:00,0.825023,1.272712,0.889035,0.677399,0.543344
00:10:30,0.746722,1.304095,0.932752,0.716963,0.579424
00:11:00,0.675741,1.307339,0.971382,0.752545,0.612138
00:11:30,0.612783,1.285164,1.005205,0.783724,0.641195
00:12:00,0.55593,1.23898,1.035518,0.811518,0.666964
00:12:30,0.505795,1.168879,1.062484,0.836164,0.689991
00:13:00,0.461034,1.082478,1.086705,0.858601,0.711107
00:13:30,0.421375,0.995436,1.108048,0.878758,0.729405
00:14:00,0.385852,0.909804,1.127401,0.896237,0.74635
00:14:30,0.354426,0.829015,1.144445,0.912098,0.761851
00:15:00,0.326068,0.753688,1.159785,0.926857,0.776044
00:15:30,0.300777,0.685431,1.161434,0.940008,0.788705
00:16:00,0.27785,0.623805,1.14475,0.951984,0.800315
00:16:30,0.257366,0.568445,1.109727,0.962546,0.810618
00:17:00,0.238727,0.518852,1.058529,0.972199,0.820041
00:17:30,0.222459,0.474881,0.996953,0.980679,0.828408
00:18:00,0.207711,0.435258,0.928442,0.988426,0.83611
00:18:30,0.19438,0.400055,0.858525,0.985702,0.842937
00:19:00,0.182211,0.368363,0.789064,0.969542,0.849239
00:19:30,0.171216,0.340053,0.723363,0.952546,0.854815
00:20:00,0.161103,0.314272,0.662343,0.933668,0.859979
00:20:30,0.15186,0.291203,0.606173,0.906184,0.864509
00:21:00,0.143466,0.270103,0.554819,0.872719,0.868708
00:21:30,0.135726,0.251121,0.508871,0.835137,0.872389
00:22:00,0.12851,0.233619,0.467095,0.792771,0.875824
00:22:30,0.121853,0.217835,0.429795,0.747127,0.878829
00:23:00,0.115796,0.203267,0.395977,0.699739,0.881644
00:23:30,0.110142,0.190055,0.365767,0.652442,0.876332
00:24:00,0.104839,0.177842,0.338272,0.606022,0.860278
00:24:30,0.099884,0.166661,0.313554,0.562038,0.844535
00:25:00,0.09529,0.156269,0.290994,0.520718,0.827587
00:25:30,0.091059,0.146886,0.270637,0.482529,0.803312
00:26:00,0.087071,0.138095,0.251972,0.447269,0.774114
00:26:30,0.083311,0.130063,0.235028,0.415222,0.741775
00:27:00,0.079767,0.122571,0.219441,0.385787,0.705494
00:27:30,0.076433,0.115802,0.205286,0.359117,0.666764
00:28:00,0.073335,0.109453,0.192166,0.3346,0.626202
00:28:30,0.070468,0.103961,0.180264,0.312484,0.585733
00:29:00,0.067774,0.09885,0.169112,0.292081,0.546032
00:29:30,0.065208,0.094152,0.158967,0.273578,0.508312
00:30:00,0.062752,0.089811,0.149536,0.256458,0.472512
00:30:30,0.060417,0.085746,0.140844,0.240954,0.439433
00:31:00,0.058197,0.081922,0.132679,0.226593,0.408665
00:31:30,0.056091,0.078337,0.125262,0.21348,0.380541
