time,5min,10min,15min,20min,25min
00:00:30,0.00408,0.001774,0.001066,0.000732,0.000542
00:01:00,0.008616,0.003745,0.00225,0.001546,0.001144
00:01:30,0.016755,0.007655,0.004764,0.003372,0.002564
00:02:00,0.025661,0.011941,0.007522,0.005377,0.004123
00:02:30,0.034422,0.016516,0.010591,0.007672,0.005946
00:03:00,0.043883,0.021467,0.013917,0.01016,0.007924
00:03:30,0.051579,0.025872,0.017011,0.012542,0.009857
00:04:00,0.05984,0.030613,0.020346,0.015111,0.011945
00:04:30,0.06591,0.034436,0.023163,0.017348,0.013801
00:05:00,0.0724,0.038538,0.02619,0.019755,0.0158
00:05:30,0.062743,0.041646,0.028595,0.021726,0.017475
00:06:00,0.051805,0.044973,0.031175,0.023843,0.019274
00:06:30,0.045238,0.047394,0.033141,0.025506,0.02072
00:07:00,0.03828,0.04998,0.035246,0.027289,0.022271
00:07:30,0.03389,0.05181,0.036804,0.02865,0.023481
00:08:00,0.029228,0.053763,0.038471,0.030106,0.024778
00:08:30,0.026167,0.055117,0.039679,0.031194,0.025767
00:09:00,0.022911,0.056562,0.04097,0.032358,0.026826
00:09:30,0.020704,0.05755,0.041893,0.033213,0.027621
00:10:00,0.018353,0.058603,0.042877,0.034127,0.028472
00:10:30,0.016716,0.051203,0.043573,0.034791,0.029103
00:11:00,0.01497,0.042945,0.044315,0.0355,0.029777
00:11:30,0.013726,0.037827,0.044836,0.036011,0.030273
00:12:00,0.012399,0.032397,0.045391,0.036557,0.030802
00:12:30,0.011436,0.028884,0.045778,0.036947,0.031188
00:13:00,0.010407,0.025149,0.046191,0.037364,0.031601
00:13:30,0.009647,0.022648,0.046477,0.037661,0.031901
00:14:00,0.008835,0.019984,0.046783,0.037977,0.032221
00:14:30,0.008227,0.018148,0.046994,0.038202,0.032452
00:15:00,0.007577,0.01619,0.04722,0.038442,0.032699
00:15:30,0.007084,0.014808,0.041645,0.038612,0.032876
00:16:00,0.006556,0.013333,0.035441,0.038793,0.033066
00:16:30,0.006151,0.01227,0.03148,0.03892,0.033203
00:17:00,0.005718,0.011135,0.027271,0.039057,0.033349
00:17:30,0.005382,0.010302,0.024482,0.039153,0.033453
00:18:00,0.005022,0.009412,0.021514,0.039256,0.033565
00:18:30,0.004741,0.00875,0.019486,0.034891,0.033645
00:19:00,0.00444,0.008041,0.017324,0.030037,0.033731
00:19:30,0.004202,0.007507,0.01581,0.030971,0.033792
00:20:00,0.003947,0.006934,0.014194,0.032161,0.033857
00:20:30,0.003745,0.006497,0.013037,0.028841,0.033904
00:21:00,0.003528,0.006029,0.011802,0.025114,0.033953
00:21:30,0.003355,0.005668,0.010901,0.022617,0.033989
00:22:00,0.003169,0.005282,0.009938,0.019958,0.034027
00:22:30,0.003019,0.00498,0.009225,0.018125,0.034054
00:23:00,0.002859,0.004657,0.008462,0.016171,0.034083
00:23:30,0.002729,0.004404,0.007889,0.014791,0.030466
00:24:00,0.00259,0.004132,0.007276,0.013318,0.026444
00:24:30,0.002476,0.003917,0.006809,0.012257,0.027146
00:25:00,0.002355,0.003686,0.00631,0.011124,0.028051
00:25:30,0.002255,0.003502,0.005925,0.010292,0.025284
00:26:00,0.002148,0.003304,0.005514,0.009404,0.022179
00:26:30,0.002061,0.003146,0.005194,0.008742,0.020067
00:27:00,0.001967,0.002976,0.004852,0.008034,0.017815
00:27:30,0.001889,0.002839,0.004584,0.0075,0.016242
00:28:00,0.001806,0.002691,0.004296,0.006928,0.014565
00:28:30,0.001737,0.002572,0.004069,0.006492,0.013367
00:29:00,0.001663,0.002444,0.003826,0.006025,0.012088
00:29:30,0.001601,0.002339,0.003632,0.005664,0.011157
00:30:00,0.001535,0.002227,0.003424,0.005278,0.010163
00:30:30,0.00148,0.002135,0.003258,0.004977,0.009428
00:31:00,0.00142,0.002036,0.003079,0.004654,0.008641
00:31:30,0.001371,0.001954,0.002935,0.004401,0.008051
00:32:00,0.001318,0.001867,0.002781,0.004129,0.00742
00:32:30,0.001273,0.001795,0.002656,0.003914,0.006941
00:33:00,0.001225,0.001717,0.002522,0.003683,0.006428
00:33:30,0.001185,0.001653,0.002413,0.003499,0.006034
