time,5min,10min,15min,20min,25min
00:00:30,0.004736,0.002071,0.001252,0.000865,0.000643
00:01:00,0.011288,0.004752,0.002848,0.00196,0.001455
00:01:30,0.025518,0.010659,0.006373,0.004432,0.003346
00:02:00,0.049124,0.019783,0.011596,0.007948,0.005916
00:02:30,0.089111,0.034051,0.019656,0.013295,0.009828
00:03:00,0.157137,0.057468,0.032104,0.021383,0.015669
00:03:30,0.260042,0.093441,0.051064,0.033307,0.023963
00:04:00,0.401368,0.146932,0.079524,0.051368,0.036503
00:04:30,0.567417,0.217865,0.119079,0.076544,0.054172
00:05:00,0.741445,0.3041,0.17029,0.110643,0.078448
00:05:30,0.882601,0.397811,0.23031,0.15208,0.108999
00:06:00,0.978147,0.492165,0.295596,0.200023,0.145225
00:06:30,1.016643,0.582081,0.36121,0.250304,0.185228
00:07:00,1.00043,0.666054,0.425045,0.300995,0.22683
00:07:30,0.95195,0.739792,0.484643,0.349854,0.267631
00:08:00,0.884523,0.804308,0.538849,0.396183,0.307241
00:08:30,0.809636,0.858855,0.586813,0.438222,0.344489
00:09:00,0.732645,0.905762,0.628912,0.4758,0.378575
00:09:30,0.659795,0.94637,0.664991,0.508886,0.408985
00:10:00,0.591944,0.981885,0.696562,0.537985,0.4362
00:10:30,0.53158,0.998043,0.724265,0.563566,0.459956
00:11:00,0.477976,0.991137,0.748619,0.586205,0.481013
00:11:30,0.431282,0.962107,0.769907,0.606133,0.499803
00:12:00,0.390102,0.91148,0.788315,0.623695,0.516665
00:12:30,0.353994,0.848179,0.804277,0.639125,0.531484
00:13:00,0.322271,0.777185,0.81823,0.652756,0.544735
00:13:30,0.294442,0.70584,0.830313,0.664748,0.556466
00:14:00,0.269833,0.637101,0.84091,0.675342,0.566841
00:14:30,0.248013,0.573542,0.850001,0.684477,0.575918
00:15:00,0.228506,0.516278,0.857909,0.692381,0.58396
00:15:30,0.211269,0.465568,0.854965,0.699329,0.591039
00:16:00,0.195587,0.420793,0.838035,0.70548,0.597306
00:16:30,0.181612,0.381342,0.806967,0.710813,0.602681
00:17:00,0.168949,0.346402,0.761754,0.715476,0.60742
00:17:30,0.157476,0.315946,0.708443,0.71948,0.611598
00:18:00,0.14711,0.288912,0.650941,0.722968,0.615302
00:18:30,0.137734,0.265046,0.593725,0.718544,0.618546
00:19:00,0.129042,0.243752,0.539106,0.703898,0.621409
00:19:30,0.121208,0.22482,0.48908,0.685636,0.623902
00:20:00,0.113971,0.207916,0.443434,0.665328,0.626088
00:20:30,0.107326,0.192675,0.40289,0.641012,0.627991
00:21:00,0.101236,0.178941,0.366229,0.613997,0.629669
00:21:30,0.095645,0.166604,0.333892,0.584019,0.631136
00:22:00,0.090428,0.155285,0.305135,0.549279,0.632428
00:22:30,0.085597,0.145215,0.279822,0.512147,0.633555
00:23:00,0.081143,0.135942,0.256958,0.473599,0.634546
00:23:30,0.076998,0.127441,0.236819,0.436352,0.629355
00:24:00,0.07314,0.119736,0.218641,0.400694,0.616172
00:24:30,0.069578,0.112636,0.202463,0.367471,0.600405
00:25:00,0.066199,0.106076,0.187765,0.336866,0.58303
00:25:30,0.063077,0.10012,0.17461,0.309349,0.562261
00:26:00,0.060136,0.094592,0.16263,0.284378,0.539204
00:26:30,0.057385,0.089469,0.151763,0.261817,0.513817
00:27:00,0.054787,0.08469,0.141998,0.241499,0.484454
00:27:30,0.052395,0.080327,0.133017,0.223213,0.453287
00:28:00,0.050123,0.076216,0.124739,0.206759,0.421167
00:28:30,0.048021,0.072446,0.117312,0.191838,0.389503
00:29:00,0.046043,0.068902,0.11037,0.178329,0.359012
00:29:30,0.044159,0.065583,0.104036,0.166147,0.330782
00:30:00,0.042361,0.062491,0.098207,0.15494,0.304569
00:30:30,0.040666,0.059596,0.092853,0.144955,0.280858
00:31:00,0.03905,0.056868,0.087827,0.135738,0.258939
00:31:30,0.037527,0.054312,0.083204,0.127281,0.23933
00:32:00,0.036107,0.051945,0.078922,0.119608,0.221378
00:32:30,0.034776,0.049713,0.074919,0.112531,0.205321
00:33:00,0.033499,0.04763,0.07124,0.105989,0.19058
00:33:30,0.032288,0.045681,0.067778,0.100047,0.177327
00:34:00,0.031138,0.043803,0.064523,0.09453,0.16523
00:34:30,0.030034,0.042032,0.061512,0.089413,0.154191
00:35:00,0.02896,0.040347,0.058664,0.084641,0.144265
00:35:30,0.027943,0.038755,0.056003,0.080283,0.13516
00:36:00,0.026973,0.037241,0.053503,0.076175,0.126726
00:36:30,0.026057,0.035852,0.051189,0.072409,0.119149
00:37:00,0.025181,0.034527,0.049001,0.068869,0.112081
00:37:30,0.024363,0.033268,0.04697,0.065552,0.105612
00:38:00,0.023583,0.032062,0.045043,0.062463,0.099675
00:38:30,0.022853,0.030929,0.043205,0.05957,0.094215
00:39:00,0.022152,0.029823,0.041459,0.056843,0.089098
00:39:30,0.021472,0.028764,0.03981,0.054287,0.084372
00:40:00,0.020811,0.027753,0.03824,0.051922,0.080015
00:40:30,0.020176,0.026796,0.036764,0.04969,0.075942
00:41:00,0.019575,0.025885,0.035402,0.047608,0.07218
00:41:30,0.018999,0.025024,0.034103,0.045661,0.068668
00:42:00,0.018443,0.024211,0.032858,0.043785,0.06535
00:42:30,0.01792,0.023442,0.031679,0.042015,0.062289
00:43:00,0.017409,0.022719,0.030557,0.04033,0.059394
00:43:30,0.016911,0.022023,0.029466,0.038739,0.056689
