time,5min,10min,15min,20min,25min
00:00:30,0.001996,0.00091,0.000561,0.000393,0.000294
00:01:00,0.004746,0.002069,0.001253,0.00087,0.00065
00:01:30,0.009296,0.004077,0.002513,0.001777,0.001353
00:02:00,0.017563,0.007337,0.004438,0.003104,0.002349
00:02:30,0.029712,0.01197,0.007048,0.004857,0.003639
00:03:00,0.047586,0.019156,0.011138,0.00757,0.005607
00:03:30,0.06923,0.028486,0.016544,0.011182,0.008227
00:04:00,0.093348,0.040014,0.023594,0.01603,0.011816
00:04:30,0.117543,0.052661,0.031685,0.021763,0.016139
00:05:00,0.140665,0.065842,0.040557,0.02828,0.021185
00:05:30,0.155085,0.07872,0.049609,0.035125,0.026617
00:06:00,0.157706,0.090994,0.058564,0.042101,0.032268
00:06:30,0.153343,0.102444,0.067084,0.048904,0.037883
00:07:00,0.143687,0.113112,0.075162,0.055431,0.043367
00:07:30,0.132153,0.122871,0.082707,0.061597,0.048602
00:08:00,0.119838,0.131941,0.08969,0.067393,0.053558
00:08:30,0.108157,0.140403,0.096222,0.072818,0.058237
00:09:00,0.0972,0.148262,0.102339,0.077887,0.062651
00:09:30,0.08735,0.15566,0.108119,0.082665,0.066767
00:10:00,0.078538,0.16258,0.113499,0.087144,0.070637
00:10:30,0.070648,0.16496,0.118573,0.091425,0.074333
00:11:00,0.063644,0.160979,0.123378,0.095457,0.07783
00:11:30,0.057374,0.15332,0.12786,0.099244,0.081178
00:12:00,0.051757,0.142838,0.132001,0.102815,0.084302
00:12:30,0.046733,0.131472,0.135831,0.106177,0.087263
00:13:00,0.042239,0.119884,0.139341,0.109311,0.090057
00:13:30,0.03819,0.108985,0.142547,0.112185,0.09268
00:14:00,0.034532,0.098806,0.145485,0.114836,0.095133
00:14:30,0.031263,0.089581,0.148148,0.117306,0.097402
00:15:00,0.028318,0.081292,0.150576,0.119578,0.099505
00:15:30,0.025679,0.073809,0.149914,0.121679,0.101461
00:16:00,0.023328,0.067104,0.144904,0.123593,0.103262
00:16:30,0.021308,0.061088,0.137372,0.125309,0.104925
00:17:00,0.019641,0.055653,0.127855,0.126866,0.106446
00:17:30,0.018263,0.050756,0.117853,0.128288,0.107843
00:18:00,0.017089,0.04635,0.107966,0.129573,0.109114
00:18:30,0.016074,0.042364,0.09855,0.128504,0.110256
00:19:00,0.015188,0.038747,0.08983,0.124122,0.111293
00:19:30,0.014414,0.035439,0.081936,0.120014,0.112243
00:20:00,0.013716,0.032451,0.074748,0.11773,0.113104
00:20:30,0.013082,0.029713,0.068267,0.115049,0.11389
00:21:00,0.012503,0.027231,0.062436,0.110821,0.1146
00:21:30,0.011973,0.024951,0.057161,0.105538,0.115244
00:22:00,0.011489,0.022888,0.052385,0.099319,0.115824
00:22:30,0.011044,0.021,0.048058,0.092958,0.116348
00:23:00,0.010626,0.019263,0.044168,0.086606,0.116817
00:23:30,0.010234,0.01769,0.04061,0.080615,0.115417
00:24:00,0.009864,0.016243,0.037368,0.074932,0.111383
00:24:30,0.009514,0.014977,0.0344,0.06969,0.107621
00:25:00,0.009187,0.013953,0.031704,0.064869,0.105306
00:25:30,0.008878,0.013095,0.029221,0.060461,0.102692
00:26:00,0.008583,0.012368,0.026964,0.056393,0.098853
00:26:30,0.008307,0.011743,0.02488,0.052685,0.094228
00:27:00,0.008044,0.011203,0.022982,0.049285,0.088866
00:27:30,0.007792,0.010724,0.021233,0.046187,0.083409
00:28:00,0.00755,0.01029,0.019612,0.04334,0.077953
00:28:30,0.007318,0.009892,0.018131,0.040705,0.072725
00:29:00,0.007096,0.009526,0.01676,0.038276,0.067809
00:29:30,0.006885,0.009189,0.015492,0.036027,0.063249
00:30:00,0.006685,0.008873,0.014334,0.033969,0.059037
00:30:30,0.006493,0.008575,0.013263,0.03206,0.055146
00:31:00,0.006307,0.008297,0.012275,0.030288,0.05158
00:31:30,0.006129,0.008033,0.011398,0.028652,0.048303
00:32:00,0.005957,0.007781,0.010688,0.027131,0.045317
00:32:30,0.005793,0.00754,0.010087,0.025711,0.042554
00:33:00,0.005637,0.007309,0.009574,0.02439,0.040002
00:33:30,0.005486,0.007088,0.009133,0.023172,0.037639
00:34:00,0.00534,0.006878,0.008742,0.022026,0.035453
00:34:30,0.005199,0.006679,0.008391,0.020948,0.033454
00:35:00,0.005062,0.006487,0.00808,0.019938,0.031594
00:35:30,0.004931,0.006302,0.007792,0.019005,0.029863
00:36:00,0.004804,0.006124,0.007525,0.01813,0.02827
00:36:30,0.004682,0.005953,0.007276,0.017303,0.026781
00:37:00,0.004566,0.005789,0.007042,0.016524,0.025393
00:37:30,0.004453,0.005633,0.006823,0.015791,0.024104
00:38:00,0.004343,0.005483,0.006617,0.015114,0.022908
00:38:30,0.004237,0.005337,0.006421,0.014475,0.021781
00:39:00,0.004133,0.005195,0.006235,0.01387,0.020724
00:39:30,0.004033,0.005059,0.006056,0.013296,0.019731
00:40:00,0.003936,0.004927,0.005885,0.012752,0.018818
00:40:30,0.003842,0.0048,0.005723,0.012237,0.017955
00:41:00,0.00375,0.004679,0.005569,0.011751,0.017142
00:41:30,0.003662,0.004562,0.00542,0.0113,0.016374
00:42:00,0.003578,0.004449,0.005276,0.010869,0.015654
00:42:30,0.003498,0.00434,0.005136,0.01046,0.014988
00:43:00,0.003419,0.004233,0.005002,0.01007,0.014358
00:43:30,0.003342,0.00413,0.004872,0.009697,0.01376
00:44:00,0.003268,0.004029,0.004747,0.009344,0.013193
00:44:30,0.003195,0.003932,0.004628,0.00901,0.012656
00:45:00,0.003124,0.003838,0.004513,0.00869,0.012148
00:45:30,0.003055,0.003746,0.004403,0.008387,0.01167
00:46:00,0.002989,0.003658,0.004295,0.008101,0.011223
00:46:30,0.002925,0.003574,0.004191,0.007826,0.010797
00:47:00,0.002864,0.003494,0.00409,0.007562,0.010392
00:47:30,0.002805,0.003415,0.003992,0.007309,0.010006
00:48:00,0.002747,0.003339,0.003896,0.007068,0.009637
00:48:30,0.00269,0.003264,0.003804,0.006839,0.009288
00:49:00,0.002634,0.003191,0.003715,0.006622,0.008957
00:49:30,0.00258,0.00312,0.003628,0.006414,0.00864
00:50:00,0.002527,0.003052,0.003547,0.006213,0.008341
00:50:30,0.002475,0.002985,0.003468,0.006021,0.008057
00:51:00,0.002425,0.002922,0.003391,0.005836,0.007784
00:51:30,0.002376,0.002861,0.003316,0.005663,0.007523
00:52:00,0.002328,0.002801,0.003242,0.005496,0.007272
00:52:30,0.002281,0.002743,0.003171,0.005335,0.007033
00:53:00,0.002236,0.002686,0.003101,0.005179,0.006807
00:53:30,0.002191,0.002631,0.003034,0.00503,0.006591
00:54:00,0.002148,0.002576,0.002968,0.004885,0.006384
00:54:30,0.002105,0.002523,0.002906,0.004746,0.006185
00:55:00,0.002064,0.002472,0.002846,0.004615,0.005994
00:55:30,0.002024,0.002421,0.002787,0.004488,0.00581
00:56:00,0.001984,0.002372,0.00273,0.004365,0.005639
00:56:30,0.001947,0.002324,0.002674,0.004247,0.005473
00:57:00,0.001911,0.002278,0.00262,0.004133,0.005313
00:57:30,0.001877,0.002232,0.002567,0.004022,0.005158
