time,5min,10min,15min,20min,25min
00:00:30,0.007173,0.003111,0.001868,0.001283,0.00095
00:01:00,0.015266,0.006607,0.003965,0.002724,0.002015
00:01:30,0.030494,0.013752,0.008509,0.006007,0.004558
00:02:00,0.047954,0.021826,0.01362,0.009682,0.007395
00:02:30,0.067752,0.031237,0.01971,0.014135,0.010885
00:03:00,0.092107,0.04229,0.026696,0.019207,0.014824
00:03:30,0.118807,0.054253,0.03424,0.024659,0.019084
00:04:00,0.152214,0.069079,0.043372,0.03115,0.024073
00:04:30,0.185827,0.085075,0.053232,0.038119,0.02941
00:05:00,0.222749,0.104096,0.065165,0.046559,0.03583
00:05:30,0.229072,0.122677,0.077637,0.055516,0.042688
00:06:00,0.228873,0.142772,0.091327,0.065819,0.0507
00:06:30,0.228648,0.16164,0.104545,0.075866,0.058822
00:07:00,0.220299,0.180767,0.118439,0.086612,0.06749
00:07:30,0.210712,0.197794,0.131321,0.096808,0.075869
00:08:00,0.196982,0.214399,0.144166,0.107227,0.08456
00:08:30,0.183806,0.228655,0.155667,0.116742,0.092636
00:09:00,0.168975,0.242121,0.166749,0.126111,0.100715
00:09:30,0.155602,0.253669,0.176341,0.134449,0.108021
00:10:00,0.141977,0.264679,0.185518,0.142461,0.115151
00:10:30,0.130023,0.257836,0.193545,0.149435,0.121419
00:11:00,0.118307,0.246257,0.201247,0.156162,0.127445
00:11:30,0.108212,0.236433,0.20807,0.162111,0.132789
00:12:00,0.098518,0.222842,0.214587,0.167828,0.137986
00:12:30,0.090151,0.210088,0.220341,0.172928,0.142569
00:13:00,0.08223,0.195133,0.225842,0.177876,0.147027
00:13:30,0.075381,0.181456,0.230685,0.182233,0.151018
00:14:00,0.068907,0.166912,0.23527,0.18641,0.154883
00:14:30,0.063311,0.153908,0.23932,0.190137,0.158296
00:15:00,0.058018,0.140869,0.243151,0.193709,0.161588
00:15:30,0.053435,0.129476,0.234848,0.196855,0.164529
00:16:00,0.049107,0.118404,0.223225,0.199829,0.167361
00:16:30,0.045355,0.108771,0.213138,0.202471,0.169888
00:17:00,0.041859,0.099607,0.200402,0.204946,0.172268
00:17:30,0.038869,0.091618,0.188597,0.207131,0.174372
00:18:00,0.036098,0.084054,0.175281,0.209182,0.176368
00:18:30,0.033751,0.077509,0.163053,0.201926,0.178137
00:19:00,0.03156,0.071298,0.150329,0.192172,0.179801
00:19:30,0.029708,0.065867,0.138955,0.192034,0.181273
00:20:00,0.027963,0.060738,0.127699,0.192168,0.182653
00:20:30,0.026461,0.056248,0.11778,0.183588,0.183873
00:21:00,0.025034,0.051987,0.108182,0.173597,0.185011
00:21:30,0.023807,0.048243,0.099835,0.165065,0.186013
00:22:00,0.02262,0.044683,0.091815,0.155442,0.186933
00:22:30,0.021582,0.041543,0.084833,0.146724,0.187744
00:23:00,0.02057,0.038548,0.078229,0.137379,0.188499
00:23:30,0.019685,0.035893,0.072443,0.128933,0.18174
00:24:00,0.018824,0.033367,0.066946,0.120242,0.172997
00:24:30,0.018065,0.031133,0.062132,0.112489,0.172199
00:25:00,0.017318,0.029036,0.057555,0.104805,0.171635
00:25:30,0.016654,0.027221,0.053545,0.098026,0.164
00:26:00,0.015998,0.025528,0.049716,0.091369,0.155248
00:26:30,0.015413,0.024077,0.046343,0.085512,0.14773
00:27:00,0.014837,0.022723,0.043116,0.079877,0.13936
00:27:30,0.014322,0.02155,0.040259,0.074924,0.131756
00:28:00,0.013812,0.020437,0.037522,0.070143,0.123606
00:28:30,0.013353,0.019472,0.035086,0.065914,0.116235
00:29:00,0.012895,0.018558,0.032756,0.061861,0.108691
00:29:30,0.012481,0.017759,0.030679,0.058272,0.101957
00:30:00,0.012067,0.016986,0.028698,0.054837,0.095246
00:30:30,0.011691,0.016305,0.026926,0.051788,0.089277
00:31:00,0.011315,0.015642,0.025224,0.048848,0.083449
00:31:30,0.010972,0.015054,0.023706,0.046234,0.078322
00:32:00,0.010631,0.014484,0.022264,0.043707,0.07335
00:32:30,0.010321,0.013976,0.020995,0.041434,0.068943
00:33:00,0.010008,0.013476,0.019801,0.03926,0.064685
00:33:30,0.009724,0.013026,0.018768,0.037301,0.060925
00:34:00,0.009437,0.01258,0.017797,0.035405,0.057304
00:34:30,0.009174,0.012177,0.01695,0.033701,0.054101
00:35:00,0.008909,0.011775,0.016146,0.032058,0.051013
00:35:30,0.008665,0.011411,0.01544,0.03057,0.048254
00:36:00,0.008421,0.011047,0.014771,0.029128,0.045607
